######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
  386.429993   0.0000000D+00
  386.440002   0.0000000D+00
  386.450012   0.0000000D+00
  386.459991   0.0000000D+00
  386.470001   0.0000000D+00
  386.480011   0.0000000D+00
  386.489990   0.0000000D+00
  386.500000   0.0000000D+00
  386.510010   0.0000000D+00
  386.519989   0.0000000D+00
  386.529999   0.0000000D+00
  386.540009   0.0000000D+00
  386.549988   0.0000000D+00
  386.559998   0.0000000D+00
  386.570007   0.0000000D+00
  386.579987   0.0000000D+00
  386.589996   0.0000000D+00
  386.600006   0.0000000D+00
  386.609985   0.0000000D+00
  386.619995   0.0000000D+00
  386.630005   0.0000000D+00
  386.640015   0.0000000D+00
  386.649994   0.0000000D+00
  386.660004   0.0000000D+00
  386.670013   0.0000000D+00
  386.679993   0.0000000D+00
  386.690002   0.0000000D+00
  386.700012   0.0000000D+00
  386.709991   0.0000000D+00
  386.720001   0.0000000D+00
  386.730011   0.0000000D+00
  386.739990   0.0000000D+00
  386.750000   0.0000000D+00
  386.760010   0.0000000D+00
  386.769989   0.0000000D+00
  386.779999   0.0000000D+00
  386.790009   0.0000000D+00
  386.799988   0.0000000D+00
  386.809998   0.0000000D+00
  386.820007   0.0000000D+00
  386.829987   0.0000000D+00
  386.839996   0.0000000D+00
  386.850006   0.0000000D+00
  386.859985   0.0000000D+00
  386.869995   0.0000000D+00
  386.880005   0.0000000D+00
  386.890015   0.0000000D+00
  386.899994   0.0000000D+00
  386.910004   0.0000000D+00
  386.920013   0.0000000D+00
  386.929993   0.0000000D+00
  386.940002   0.0000000D+00
  386.950012   0.0000000D+00
  386.959991   0.0000000D+00
  386.970001   0.0000000D+00
  386.980011   0.0000000D+00
  386.989990   0.0000000D+00
  387.000000   0.0000000D+00
  387.010010   0.0000000D+00
  387.019989   0.0000000D+00
  387.029999   0.0000000D+00
  387.040009   0.0000000D+00
  387.049988   0.0000000D+00
  387.059998   0.0000000D+00
  387.070007   0.0000000D+00
  387.079987   0.0000000D+00
  387.089996   0.0000000D+00
  387.100006   0.0000000D+00
  387.109985   0.0000000D+00
  387.119995   0.0000000D+00
  387.130005   0.0000000D+00
  387.140015   0.0000000D+00
  387.149994   0.0000000D+00
  387.160004   0.0000000D+00
  387.170013   0.0000000D+00
  387.179993   0.0000000D+00
  387.190002   0.0000000D+00
  387.200012   0.0000000D+00
  387.209991   0.0000000D+00
  387.220001   0.0000000D+00
  387.230011   0.0000000D+00
  387.239990   0.0000000D+00
  387.250000   0.0000000D+00
  387.260010   0.0000000D+00
  387.269989   0.0000000D+00
  387.279999   0.0000000D+00
  387.290009   0.0000000D+00
  387.299988   0.0000000D+00
  387.309998   0.0000000D+00
  387.320007   0.0000000D+00
  387.329987   0.0000000D+00
  387.339996   0.0000000D+00
  387.350006   0.0000000D+00
  387.359985   0.0000000D+00
  387.369995   0.0000000D+00
  387.380005   0.0000000D+00
  387.390015   0.0000000D+00
  387.399994   0.0000000D+00
  387.410004   0.0000000D+00
  387.420013   0.0000000D+00
  387.429993   0.0000000D+00
  387.440002   0.0000000D+00
  387.450012   0.0000000D+00
  387.459991   0.0000000D+00
  387.470001   0.0000000D+00
  387.480011   0.0000000D+00
  387.489990   0.0000000D+00
  387.500000   0.0000000D+00
  387.510010   0.0000000D+00
  387.519989   0.0000000D+00
  387.529999   0.0000000D+00
  387.540009   0.0000000D+00
  387.549988   0.0000000D+00
  387.559998   0.0000000D+00
  387.570007   0.0000000D+00
  387.579987   0.0000000D+00
  387.589996   0.0000000D+00
  387.600006   0.0000000D+00
  387.609985   0.0000000D+00
  387.619995   0.0000000D+00
  387.630005   0.0000000D+00
  387.640015   0.0000000D+00
  387.649994   0.0000000D+00
  387.660004   0.0000000D+00
  387.670013   0.0000000D+00
  387.679993   0.0000000D+00
  387.690002   0.0000000D+00
  387.700012   0.0000000D+00
  387.709991   0.0000000D+00
  387.720001   0.0000000D+00
  387.730011   0.0000000D+00
  387.739990   0.0000000D+00
  387.750000   0.0000000D+00
  387.760010   0.0000000D+00
  387.769989   0.0000000D+00
  387.779999   0.0000000D+00
  387.790009   0.0000000D+00
  387.799988   0.0000000D+00
  387.809998   0.0000000D+00
  387.820007   0.0000000D+00
  387.829987   0.0000000D+00
  387.839996   0.0000000D+00
  387.850006   0.0000000D+00
  387.859985   0.0000000D+00
  387.869995   0.0000000D+00
  387.880005   0.0000000D+00
  387.890015   0.0000000D+00
  387.899994   0.0000000D+00
  387.910004   0.0000000D+00
  387.920013   0.0000000D+00
  387.929993   0.0000000D+00
  387.940002   0.0000000D+00
  387.950012   0.0000000D+00
  387.959991   0.0000000D+00
  387.970001   0.0000000D+00
  387.980011   0.0000000D+00
  387.989990   0.0000000D+00
  388.000000   0.0000000D+00
  388.010010   0.0000000D+00
  388.019989   0.0000000D+00
  388.029999   0.0000000D+00
  388.040009   0.0000000D+00
  388.049988   0.0000000D+00
  388.059998   0.0000000D+00
  388.070007   0.0000000D+00
  388.079987   0.0000000D+00
  388.089996   0.0000000D+00
  388.100006   0.0000000D+00
  388.109985   0.0000000D+00
  388.119995   0.0000000D+00
  388.130005   0.0000000D+00
  388.140015   0.0000000D+00
  388.149994   0.0000000D+00
  388.160004   0.0000000D+00
  388.170013   0.0000000D+00
  388.179993   0.0000000D+00
  388.190002   0.0000000D+00
  388.200012   0.0000000D+00
  388.209991   0.0000000D+00
  388.220001   0.0000000D+00
  388.230011   0.0000000D+00
